Target Distance (in),Hood Angle (deg),Shot Exit Velocity (ips),Flywheel Command Speed (ips)
53,46.9,NaN,NaN
53,41.9,NaN,NaN
53,36.9,NaN,NaN
53,31.9,NaN,NaN
54,76.9,238.03,295.56
54,71.9,202.51,266.21
54,66.9,179.67,243.08
54,61.9,161.44,221.54
54,56.9,152.80,211.03
54,51.9,NaN,NaN
54,46.9,NaN,NaN
54,41.9,NaN,NaN
54,36.9,NaN,NaN
54,31.9,NaN,NaN
55,76.9,241.16,297.78
55,71.9,203.88,267.59
55,66.9,180.68,244.10
55,61.9,162.71,223.08
55,56.9,153.93,212.41
55,51.9,143.72,200.00
55,46.9,NaN,NaN
55,41.9,NaN,NaN
55,36.9,NaN,NaN
55,31.9,NaN,NaN
56,76.9,244.29,300.00
56,71.9,205.24,268.97
56,66.9,181.69,245.13
56,61.9,163.97,224.62
56,56.9,155.07,213.79
56,51.9,144.82,201.33
56,46.9,NaN,NaN
56,41.9,NaN,NaN
56,36.9,NaN,NaN
56,31.9,NaN,NaN
57,76.9,247.41,302.22
57,71.9,206.60,270.34
57,66.9,182.71,246.15
57,61.9,165.24,226.15
57,56.9,156.20,215.17
57,51.9,145.92,202.67
57,46.9,NaN,NaN
57,41.9,NaN,NaN
57,36.9,NaN,NaN
57,31.9,NaN,NaN
58,76.9,250.54,304.44
58,71.9,207.97,271.72
58,66.9,183.72,247.18
58,61.9,166.50,227.69
58,56.9,157.34,216.55
58,51.9,147.01,204.00
58,46.9,NaN,NaN
58,41.9,NaN,NaN
58,36.9,NaN,NaN
58,31.9,NaN,NaN
59,76.9,253.67,306.67
59,71.9,209.33,273.10
59,66.9,184.73,248.21
59,61.9,167.77,229.23
59,56.9,158.47,217.93
59,51.9,148.11,205.33
59,46.9,NaN,NaN
59,41.9,NaN,NaN
59,36.9,NaN,NaN
59,31.9,NaN,NaN
60,76.9,256.80,308.89
60,71.9,210.69,274.48
60,66.9,185.74,249.23
60,61.9,169.03,230.77
60,56.9,159.61,219.31
60,51.9,149.21,206.67
60,46.9,NaN,NaN
60,41.9,NaN,NaN
60,36.9,NaN,NaN
60,31.9,NaN,NaN
61,76.9,259.92,311.11
61,71.9,212.05,275.86
61,66.9,186.76,250.26
61,61.9,170.30,232.31
61,56.9,160.74,220.69
61,51.9,150.30,208.00
61,46.9,143.72,200.00
61,41.9,NaN,NaN
61,36.9,NaN,NaN
61,31.9,NaN,NaN
62,76.9,263.05,313.33
62,71.9,213.42,277.24
62,66.9,187.77,251.28
62,61.9,171.56,233.85
62,56.9,161.88,222.07
62,51.9,151.40,209.33
62,46.9,144.64,201.11
62,41.9,NaN,NaN
62,36.9,NaN,NaN
62,31.9,NaN,NaN
63,76.9,266.18,315.56
63,71.9,214.78,278.62
63,66.9,188.78,252.31
63,61.9,172.83,235.38
63,56.9,163.01,223.45
63,51.9,152.50,210.67
63,46.9,145.55,202.22
63,41.9,143.72,200.00
63,36.9,NaN,NaN
63,31.9,NaN,NaN
64,76.9,269.31,317.78
64,71.9,216.14,280.00
64,66.9,189.80,253.33
64,61.9,174.09,236.92
64,56.9,164.15,224.83
64,51.9,153.59,212.00
64,46.9,146.46,203.33
64,41.9,144.61,201.08
64,36.9,NaN,NaN
64,31.9,NaN,NaN
65,76.9,272.43,320.00
65,71.9,218.39,281.60
65,66.9,190.81,254.36
65,61.9,175.36,238.46
65,56.9,165.28,226.21
65,51.9,154.69,213.33
65,46.9,147.38,204.44
65,41.9,145.50,202.16
65,36.9,NaN,NaN
65,31.9,NaN,NaN
66,76.9,277.49,324.44
66,71.9,220.64,283.20
66,66.9,191.82,255.38
66,61.9,176.63,240.00
66,56.9,166.41,227.59
66,51.9,155.79,214.67
66,46.9,148.29,205.56
66,41.9,146.39,203.24
66,36.9,NaN,NaN
66,31.9,NaN,NaN
67,76.9,282.55,328.89
67,71.9,222.90,284.80
67,66.9,192.84,256.41
67,61.9,177.57,240.95
67,56.9,167.55,228.97
67,51.9,156.88,216.00
67,46.9,149.21,206.67
67,41.9,147.28,204.32
67,36.9,NaN,NaN
67,31.9,NaN,NaN
68,76.9,287.61,333.33
68,71.9,225.15,286.40
68,66.9,193.85,257.44
68,61.9,178.51,241.90
68,56.9,168.68,230.34
68,51.9,157.98,217.33
68,46.9,150.12,207.78
68,41.9,148.17,205.41
68,36.9,143.72,200.00
68,31.9,NaN,NaN
69,76.9,292.67,337.78
69,71.9,227.40,288.00
69,66.9,194.86,258.46
69,61.9,179.45,242.86
69,56.9,169.82,231.72
69,51.9,159.08,218.67
69,46.9,151.03,208.89
69,41.9,149.06,206.49
69,36.9,144.69,201.18
69,31.9,NaN,NaN
70,76.9,297.73,342.22
70,71.9,229.65,289.60
70,66.9,195.88,259.49
70,61.9,180.39,243.81
70,56.9,170.95,233.10
70,51.9,160.17,220.00
70,46.9,151.95,210.00
70,41.9,149.95,207.57
70,36.9,145.66,202.35
70,31.9,143.72,200.00
71,76.9,302.79,346.67
71,71.9,231.90,291.20
71,66.9,196.89,260.51
71,61.9,181.33,244.76
71,56.9,172.09,234.48
71,51.9,161.27,221.33
71,46.9,152.86,211.11
71,41.9,150.84,208.65
71,36.9,146.63,203.53
71,31.9,144.72,201.21
72,76.9,307.85,351.11
72,71.9,234.15,292.80
72,66.9,197.90,261.54
72,61.9,182.27,245.71
72,56.9,173.22,235.86
72,51.9,162.37,222.67
72,46.9,153.78,212.22
72,41.9,151.73,209.73
72,36.9,147.59,204.71
72,31.9,145.72,202.42
73,76.9,312.91,355.56
73,71.9,236.41,294.40
73,66.9,198.92,262.56
73,61.9,183.21,246.67
73,56.9,174.36,237.24
73,51.9,163.46,224.00
73,46.9,154.69,213.33
73,41.9,152.62,210.81
73,36.9,148.56,205.88
73,31.9,146.71,203.64
74,76.9,317.97,360.00
74,71.9,238.66,296.00
74,66.9,199.93,263.59
74,61.9,184.15,247.62
74,56.9,175.49,238.62
74,51.9,164.56,225.33
74,46.9,155.60,214.44
74,41.9,153.50,211.89
74,36.9,149.53,207.06
74,31.9,147.71,204.85
75,76.9,NaN,NaN
75,71.9,240.91,297.60
75,66.9,200.94,264.62
75,61.9,185.09,248.57
75,56.9,176.63,240.00
75,51.9,165.66,226.67
75,46.9,156.52,215.56
75,41.9,154.39,212.97
75,36.9,150.50,208.24
75,31.9,148.71,206.06
76,76.9,NaN,NaN
76,71.9,243.16,299.20
76,66.9,201.96,265.64
76,61.9,186.03,249.52
76,56.9,177.47,240.85
76,51.9,166.75,228.00
76,46.9,157.43,216.67
76,41.9,155.28,214.05
76,36.9,151.46,209.41
76,31.9,149.70,207.27
77,76.9,NaN,NaN
77,71.9,245.41,300.80
77,66.9,202.97,266.67
77,61.9,186.98,250.48
77,56.9,178.31,241.70
77,51.9,167.85,229.33
77,46.9,158.35,217.78
77,41.9,156.17,215.14
77,36.9,152.43,210.59
77,31.9,150.70,208.48
78,76.9,NaN,NaN
78,71.9,247.66,302.40
78,66.9,203.98,267.69
78,61.9,187.92,251.43
78,56.9,179.15,242.55
78,51.9,168.95,230.67
78,46.9,159.26,218.89
78,41.9,157.06,216.22
